,Address,latitude,longtitude
147,2089 ห้างเซ็นจูรี่ เดอะมูวี่ พลาซา สุขุมวิท ชั้นที่ 2  ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10260,,
148,ศูนย์การค้าเทอมินอล 21 ห้องเลขที่ KI-LG-403  ชั้นที่  LG  เลขที่  88  ซ.สุขุมวิท 19 (วัฒนา) ถ.สุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา จ.กรุงเทพมหานคร  10110,,
149,114 ห้างบิ๊กซีอ่อนนุช ชั้น 1 ห้อง K 11  ถ. สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา จ. กทม.  10110,,
150,แขวง ปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
151,681 ถนน สามเสน แขวง วชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,,
152,เลขที่ 199 ถ. รัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
153,ศูนย์อาหารกินนี่ ชั้น 2 เลขที่ 2 ถ.พญาไท แขวงทุ่งพญาไท เขตราชเทวี กทม. 10400,,
154,2929 ห้างบิ๊กซีพระราม 4 ชั้น 1 ยูนิต FD 1  ถ.พระราม 4  แขวงคลองตัน เขตคลองเตย กรุงเทพฯ  10110,,
155,323  หมู่ 2  ต.สำราญ  อ.เมืองยโสธร  จ.ยโสธร  35000,,
156,437 ห้างโลตัส ยโสธร  หมู่ที่ 10 ตำบลสำราญ อำเภอเมืองยโสธร จังหวัดยโสธร 35000,,
157,เลขที่ 243 โลตัส สกลนคร ชั้น 1 ถ.ใสสว่าง ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,,
158,เลขที่ 1594/16 ห้างบิ๊กซีสกลนคร ชั้น 1 ถ.รอบเมือง ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,,
159,โรบินสัน ไลฟ์สไตล์ สกลนคร เลขที่  88/8 ชั้น 1F ถ.นิตโย ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร  47000,,
160,เลขที่ 501 โลตัส สว่างแดนดิน หมู่ 2 ต.สว่างแดนดิน อ.สว่างแดนดิน จ.สกลนคร 47110,,
161,506  ห้างบิ๊กซี พังโคน หมู่ที่ 8  ตำบลพังโคน อำเภอพังโคน จังหวัดสกลนคร  47160,,
162,19 ห้างโลตัสสุรินทร์ ชั้น 1  ถ.หลักเมือง  ต. ในเมือง  อ. เมืองสุรินทร์ จ. สุรินทร์  32000,,
163,8 ห้างบิ๊กซีสุรินทร์ ชั้น 1 หอ้ง 109 ถ.หลักเมือง ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,,
164,101 ห้างโลตัสสุรินทร์พลาซา ถ.หนองดุม ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,,
165,ห้างโลตัสสังขะสุรินทร์  เลขที่  260 หมู่ที่ 1 ต.สังขะ อ.สังขะ  จ.สุรินทร์  32150,,
166,ห้างโลตัสปราสาท สุรินทร์  เลขที่  68  หมู่ที่ 2  ต.กังแอน  อ.ปราสาท  จ.สุรินทร์  32140,,
167,ห้างโรบินสันสุรินทร์  ชั้นที่ 1F  เลขที่  338  หมู่ที่  16  ต.สลักได  อ.เมือง  จ.สุรินทร์  32000,,
168,ห้างโลตัสท่าตูม  เลขที่  631 หมู่ที่ 7 อ.ท่าตูม  จ.สุรินทร์  32120,,
169,"322 หมู่ 2, นอกเมือง, เมือง สุรินทร์, สุรินทร์ 32000",,
170,ห้างบิ๊กซีอำนาจเจริญ  ม.7 ต.บุ่ง  อ.เมืองอำนาจเจริญ  จ.อำนาจเจริญ   37000,,
171,ห้างบิ๊กซีร้อยเอ็ด  เลขที่ 320  หมู่ที่ 10  ต.เหนือเมือง  อ.เมืองร้อยเอ็ด  จ.ร้อยเอ็ด  45000,,
172,อาคารห้างโรบินสันร้อยเอ็ด  ชั้นที่  1F  เลขที่  137  หมู่ที่  3  ต.ดงลาน  อ.เมืองร้อยเอ็ด  จ.ร้อยเอ็ด  45000,,
173,240  ห้างโลตัส โพนทอง หมู่ที่ 12  ตำบลสระนกแก้ว อำเภอโพนทอง จังหวัดร้อยเอ็ด  45110,,
174,103 อาคารเสริมไทยพลาซ่า ชั้น 1 ถ.ริมคลองสมถวิล ต.ตลาด อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,,
175,238/1-3  หมู่ 11  ต.เกิ้ง  อ.เมืองมหาสารคราม  จ.มหาสารคราม 44000,,
176,ห้างเสริมไทย มหาสารคาม  เลขที่  76/2  ถ.นครสวรรค์  ต.ตลาด  อ.เมืองมหาสารคาม  จ.มหาสารคาม  44000,,
177,408 อาคารห้างโลตัส โกสุมพิสัย หมู่ที่ 12 ตำบลหัวขวาง อำเภอโกสุมพิสัย จังหวัดมหาสารคาม 44140,,
178,303 หมู่ 11 ทางหลวงแผ่นดินหมายเลข 291 ตำบลเกิ้ง อำเภอเมืองมหาสารคาม มหาสารคาม 44000,,
179,"444 หมู่ 7, ดงลาน, เมือง ร้อยเอ็ด, ร้อยเอ็ด 45000",,
180,904/7 ห้างโลตัส นางรอง บุรีรัมย์ ถนนโชคชัย-เดชอุดม ตำบลนางรอง อำเภอนางรอง จังหวัดบุรีรัมย์ 31110,,
181,199  ห้างบิ๊กซี หนองกี่  หมู่ที่ 2 ตำบลหนองกี่ อำเภอหนองกี่ จังหวัดบุรีรัมย์ 31210,,
182,150 ห้างบิ๊กซีบุรีรัมย์ หมู่ที่ 7 ต.อิสาณ อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,,
183,ทวีกิจ ซุปเปอร์เซ็นเตอร์ เลขที่ 274 ห้องเลขที่ F3-F4 หมู่ที่ 8 ต.อิสาณ อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,,
184,ห้างโรบินสันบุรีรัมย์  ห้องเลขที่  132/1  ชั้นที่  1F  เลขที่  125  หมุ่ที่  6  อ.เมืองบุรีรัมย์  จ.บุรีรัมย์  31000,,
185,อาคาร ห้างโลตัสประโคนชัย  เลขที่ 420  หมู่ที 8 ต.ประโคนชัย  อ.ประโคนชัย  จ.บุรีรัมย์  31140,,
186,"754 ห้างบิ๊กซีนครปฐมชั้น 2 ห้อง 203,204 ถ. เพชรเกษม ต. ห้วยจรเข้ อ.เมืองนครปฐม จ. นครปฐม  73000",,
187,อาคารห้างโลตัสบางเลน  เลขที่  188  หมู่ที่  6  ต.บางเลน  อ.บางเลน  จ.นครปฐม  73130,,
188,ห้างเซ็นทรัลพลาซา ศาลายา  ห้องเลขที่ K102  ชั้นที่ 1  เลขที่  99/19-20  หมู่ที่ 2 ต.บางเตย อ.สามพราน จ.นครปฐม 73210,,
189,99 ห้างโลตัส สมุทรสงคราม ชั้น 1 หมุ่ 2 ถนนทางเข้าเมือง ต.บางแก้ว อ.เมืองสมุทรสงคราม สมุทรสงคราม 75000,,
190,2/19 ห้างบิ๊กซี สมุทรสงคราม ม.1 ต.บางอก้ว อ.เมือง จ.สมุทรสงคราม 75000,,
191,"8 หมู่ที่ 1, ถ. บรมราชชนนี ตำบล ทรงคนอง อำเภอสามพราน นครปฐม 73210",,
192,เลขที่ 200 อำเภอเมืองนครปฐม นครปฐม 73000,,
193,เลขที่ 888 ถ.บรมราชชนนี ตำบลศาลายา อำเภอพุทธมณฑล นครปฐม 73170,,
194,20/10 ห้างโลตัส สามพราน หมู่ 1 ต.ท่าตลาด อ.สามพราน จ.นครปฐม 73110,,
195,17/17 ห้างบิ๊กซีอ้อมใหญ่ ชั้น 1 ห้อง 113 หมู่ที่ 8 ต.อ้อมใหญ่ อ.สามพราน จ.นครปฐม 73160,,
196,เลขที่ 200/101 ถ. เพชรเกษม ตำบล อ้อมน้อย อำเภอกระทุ่มแบน สมุทรสาคร 74130,,
197,29/1 ห้างบิ๊กซีเพชรเกษม 2  ชั้น 1  ม. 11 ถ. เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กทม.  10160,,
198,1759  ห้างบิ๊กซีเพชรเกษม ถ.เพชรเกษม  แขวงหลักสอง  เขตบางแค  กรุงเทพมหานคร  10160,,
199,เลขที่ 87/2 ซอยเพชรเกษม 81 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
200,เลขที่ 833 ถ.เพชรเกษม ต.สนามจันทร์ อ.เมืองนครปฐม จ.นครปฐม 73000,,
201,เลขที่ 111 หมู่ที่ 8 ถ. พุทธมณฑลสาย 4 ตำบล กระทุ่มล้ม อำเภอสามพราน นครปฐม 73220,,
202,304 ห้างบิ๊กเจียงหนองคาย ชั้น 1 ม.  10 ถ. มิตรภาพ ต. โพธิ์ชัย อ. เมือง จ. หนองคาย  43000,,
203,อาคารอัศวรรณ 2 เลขที่  88/8  หมู่ที่ 5 ต.โพธิ์ชัย  อ.เมือง จ.หนองคาย  43000,,
204,โลตัส ท่าบ่อ 899 หมู่ที่ 1 ท่าบ่อ ท่อบ่อ หนองคาย 43110,,
205,อาคารห้างอัศวรรณโพนพิสัย  ห้องเลขที่ 1-04 ชั้นที่ 1 เลขที่ 89 หมู่ที่ 16 ต.จุมพล อ.โพนพิสัย จ.หนองคาย  43120,,
206,99 ห้างบิ๊กซีชัยภูมิ หมู่ 1 ต.บุ่งคล้า อ.เมืองชัยภูมิ จ.ชัยภูมิ 36000,,
207,171 ห้างโลตัสชัยภูมิ ถนนสนามบิน ตำบลในเมือง อำเภอเมือง ชัยภูมิ 36000,,
208,เลขที่ 25 ม.2 ต.บ้านกอก อ.จัตตุรัส จ.ชัยภูมิ 36130,,
209,ห้างโลตัสแก้งคร้อ เลขที่  319 หมู่2  ต.หนองไผ่  อ.แก้งคร้อ จ.ชัยภูมิ 36150,,
210,299/9  ห้างโรบินสัน ชัยภูมิ  หมู่ที่ 6 ตำบลในเมือง อำเภอเมืองชัยภูมิ  จังหวัดชัยภูมิ  36000,,
211,เลขที่ 299/11 หมู่ 6 ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ 36000,,
212,415 ห้างบิ๊กซีอุดรธานี ชั้น 1 ห้อง 108 ต.หมากแข้ง อ.เมือง จ.อุดรธานี 41000,,
213,"อาคารศูนย์การค้าเซ็นทรัล อุดลธานี ห้องเลขที่ KG02 ชั้นที่ G เลขที่ 277/1-3,271/5 ถ.ประจักษ์ศิลปาคม ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000",,
214,"อาคารศูนย์การค้าเซ็นทรัล อุดลธานี ห้องเลขที่ 404 ชั้น 4 เลขที่ 277/1-3,271/5 ถ.ประจักษ์ศิลปาคม ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000",,
215,109 ท็อปส์ หนองหาน ชั้นที่ 1 หมู่ที่ 11 ตำบลหนองหาน อำเภอหนองหาน จังหวัดอุดรธานี  41130,,
216,อาคาร ห้างบิ๊กซีบ้านดุง  เลขที่  500  หมุ่ที่ 9  ถ.บริบาลดำริ  ต.ศรีสุทโธ  อ. บ้านดุง  จ.อุดรธานี  41190,,
217,194/3 ห้างโลตัสบ้านผือ หมู่ที่10 ตำบลบ้านผือ  อำเภอบ้านผือ จังหวัดอุดรธานี  41160 ,,
218,ห้องเลขที่ K2 เลขที่ 217 ถ.เลี่ยงเมืองหนองคาย-สกลนคร (ทน.อด) ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 41000,,
219,อาคารโรบินสันปราจีนบุรี ห้องเลขที่ 130-131 ชั้นที่ 1F เลขที่ 72 หมู่ที่ 3 ต.บางบริบูรณ์ อ.เมืองปราจีนบุรี จ.ปราจีนบุรี 25000,,
220,บิ๊กซีศรีมหาโพธิ  เลขที่  618  หมู่ที่  7  ต.ท่าตูม  อ.ศรีมหาโพธิ  จ.ปราจีนบุรี  25140,,
221,898 หมู่ที่ 7 ถนนฉะเชิงเทรา-กบินทร์บุรี ตำบล ท่าตูม อำเภอศรีมหาโพธิ ปราจีนบุรี 25140,,
222,เลขที่ 228 ตำบลท่าตูม อำเภอศรีมหาโพธิ ปราจีนบุรี 25140,,
223,22/107 ห้างโรบินสันจันทบุรีชั้น BF ห้อง G06 ม. 7 ต. จันทนิมิต อ. เมือง จ. จันทบุรี   22000,,
224,25/4 ห้างโลตัสจันทบุรี ชั้น  1 ถ. พระยาตรัง  ต. วัดใหม่  อ.เมือง  จ. จันทบุรี  22000,,
225,ห้างบิ๊กซีจันทบุรี  เชขที่  1012  ถ.ท่าแฉลบ  ต.ตลาด  อ.เมืองจันทบุรี  จ.จันทบุรี  22000,,
226,อาคารห้างโลตัสตราด  เลขที่  1134  หมู่ที่ 1  ต. วังกระแจะ  อ. เมืองตราด  จ. ตราด  23000,,
227,352  ห้างบิ๊กซีสระแก้ว  ถ.สุวรรณศร  ต.สระแก้ว  อ.เมืองสระแก้ว  จ.สระแก้ว  27000,,
228,999 หมู่ 2 ถ. สุขุมวิท ตำบล ท่าช้าง อำเภอเมืองจันทบุรี จันทบุรี 22000,,
229,199 หมู่ที่ 7 ชั้น G ตำบลจันทนิมิต อำเภอเมืองจันทบุรี จันทบุรี 22000,,
230,เลขที่ 2929 หมู่ 5 ตำบลบ้านใหม่หนองไทร อำเภออรัญประเทศ สระแก้ว 27120,,
231,เลขที่ 388/88 ถนนสุวรรณศร ตำบลสระแก้ว อำเภอเมืองสระแก้ว สระแก้ว 27000,,
232,เลขที่ 6 หมู่ 7 ตำบลบางเมือง อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,,
233,498/1 ห้างบิ๊กซีสมุทราปราการชั้น 1 ห้อง 122 ถ.สุขุมวิท  ต.ปากน้ำ  อ.เมืองสมุทรปราการ  จ.สมุทรปราการ  10280,,
234,อาคารห้างโรบินสันสมุทรปราการ  ชั้นที่  1F  เลขที่  789  หมู่ที่  2  ต.ท้ายบ้านใหม่  อ.เมืองสมุทรปราการ  จ.สมุทรปราการ  10280,,
235,94 ห้างบิ๊กซีสุขสวัสดิ์ชั้น 1 ห้อง 130-131  ม. 18 ต.บางพึ่ง อ. พระประแดง จ.สมุทรปราการ 10130,,
236,119/201 ไทวัสดุ สุขสวัสดิ์ เลขที่ 104 ชั้นที่ 1 หมู่ที่ 14 ต.บางพึ่ง อ.พระประแดง จังหวัดสมุทรปราการ 10130 ,,
237,ห้างบิ๊กซีศรีนครินทร์  เลขที่  425  หมู่ที่ 5  ถ. ศรีนรินทร์  ต. สำโรงเหนือ  อ.เมืองสมุทรปราการ  จ.สมุทรปราการ  10270,,
238,ห้างอิมพีเรียลสำโรง  ห้องเลขที่  CO-I-1-004/1  ชั้นที่  1  เลขที่  999  หมู่ที่ 1 ถ.  สุขุมวิท  ต. สำโรงเหนือ อ. เมืองสมุทรปราการ  จ. สมุทรปราการ  10270,,
239,"ห้างเซ็นทรัลพลาซ่าระยอง  ห้องเลขที่  K104  ชั้นที่  1  เลขที่  99,99/1  ถ.บางนา-ตราด  ต.เขิงเนิน  อ.เมืองระยอง  จ.ระยอง  21000",,
240,ห้างบิ๊กซีระยอง  เลขที่  15/11  ถ.บางนา-ตราด  ต.เชิงเนิน  อ.เมือง  จ.ระยอง  21000,,
241,ศูนย์การค้าแพชชั่น ห้องเลขที่ A043 ชั้น 1 เลขที่ 554 ถ.สุขุมวิท ต.เนินพระ อ.เมืองระยอง จ.ระยอง 21000,,
242,อาคารห้างโลตัสนิคมพัฒนา  เลขที่ 28 หมู่ที่ 2  ต.นิคมพัฒนา  อ.นิคมพัฒนา  จ.ระยอง  21180,,
243,158/18  ห้างโลตัส มาบตาพุด ชั้น 1 ถนนสุขุมวิท ตำบลมาบตาพุด อำเภอเมืองระยอง จังหวัดระยอง 21150,,
244,"999/9 หมู่ 1, เชิงเนิน, เมือง ระยอง, ระยอง 21000",,
245,162 หมู่ที่ 6 ถ. สุขุมวิท ตำบลบ้านฉาง อำเภอบ้านฉาง ระยอง 21130,,
246,55/4 หมู่ 1 ถ. สุขุมวิท ตำบลบ้านฉาง อำเภอบ้านฉาง ระยอง 21130,,
247,เลขที่ 9/1 หมู่ 5 ถนนพหลโยธิน ต.คลองหนึ่ง อ.คลองหลวง ปทุมธานี 12120,,
248,10 ห้างบิ๊กซีลำลูกกาชั้น 1 ห้อง 116 หมู่ 12 ถ.ลำลูกกา ต. บึงคำพร้อย อ.ลำลูกกา จ.ปทุมธานี 12150,,
249,67 หมู่ที่ 11 ถ.ลำลูกกา ตำบลลำลูกกา อำเภอลำลูกกา ปทุมธานี 12150,,
250,เลขที่ 99/9 ตำบลบึงคำพร้อย อำเภอลำลูกกา จ.ปทุมธานี 12150,,
251,90 ห้างโลตัสรังสิต คลอง 4 ชั้น 1 ถนนรังสิต-นครนายก ตำบลบึงยี่โถ อำเภอธัญบุรี ปทุมธานี 12110,,
252,70 หมู่ 2 ตำบลบึงยี่โถ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,,
253,98/103 ห้างโลตัสนวนคร ม.13 ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี 12120,,
254,95 อาคารจอดรถและพื้นที่พาณิชยกรรม ห้องเลขที่ R.07 ชั้นที่ 1 หมู่ที่ 8 ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี 12120,,
255,99/10  หมู่ที่5 ถ.ปทุมธานี-กรุงเทพฯ สาบล บางเดือ อำเภอเมืองปทุมธานี 12000,,
256,41/2 ห้างโลตัส รังสิตคลอง 7 ม.2 ต.ลำผักกูด อ.ธัญบุรี จ.ปทุมธานี 12110,,
257,99 ห้างบิ๊กซีรังสิต คลอง 3 ห้องเอฟ 1/6 หมู่ 3  ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี 12120,,
258,158/17 ห้างบิ๊กซี รังสิต คลอง 6 หมู่ 4 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี 12110,,
259,เลขที่ 39 หมู่ที่ 1 ถนนรังสิต-นครนายก ตำบลคลองหก อำเภอคลองหลวง ปทุมธานี 12110,,
260,21/49 ห้างโลตัสปทุมธานี ถ.ปทุมสามโคก ต.บางปรอก อ.เมือง จ.ปทุมธานี 12000,,
261,41/10 ห้างบิ๊กซีปทุมธานี หมู่3 ต.บ้านฉาง อ.เมือง จ.ปทุมธานี 12000,,
262,204 ห้างโลตัส บางกะดี  หมู่ที่ 5  ตำบลบางกะดี อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,,
263,157 รังสิต-นครนายก 44 ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130,,
264,มาร์เก็ต วิลล์ คลอง 4 เลขที่ 98 หมู่ 2 ห้องเลขที่ OS101/1 ชั้น 1 ตำบลบึงยี่โถ อำเภอธัญบุรี ปทุมธานี 12130,,
265,492 ห้างโลตัสอุบลราชธานี ชั้น1  ต.ในเมือง  อ. เมือง  จ.อุบลราชธานี 34000,,
266,92 ห้างบิ๊กซีอุบลราชธานี  ชั้น 1  ซ.ธรรมวิถี 4  ถ.ธรรมวิถี   ต.ในเมือง  อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,,
267,ห้างเซ็นทรัลอุบลราชธานี  ห้องเลขที่  K107  ชั้นที่  1  เลขที่  311  หมู่ที่  7  ต. แจระแม  อ. เมืองอุบลราชธานี  จ. อุบลราชธานี  34000,,
268,ห้างซิตี้ มอลล์ อุบลราชธานี เลขที่ 512/8 ถ.ชยางกูร ต.ในเมือง อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,,
269,363 ห้างโลตัสตระการพืชผล หมู่ที่ 4 ตำบลขุหลุ อำเภอตระการพืชผล จ.อุบลราชธานี 34130,,
270,ห้างโลตัสวารินชำราบ  เลขที่  55  หมู่ที่  20  ต.แสนสุข  อ.วารินชำราบ  จ.อุบลราชธานี  34190,,
271,29 ห้างโลตัส พิบูลมังสาหาร  ถนนสถิตย์นิมานการ  ตำบลพิบูล  อำเภอพิบูลมังสาหาร จังหวัดอุบลราชธานี 34110,,
272,ห้างบิ๊กซีศรีสะเกษ  เลขที่  29/49 ม. 11 ต. หญ้าปล้อง อ.เมืองศรีสะเกษ  จ. ศรีสะเกษ  33000,,
273,เลขที่ 368 ตำบลเมืองใต้ อำเภอเมืองศรีสะเกษ จ.ศรีสะเกษ 33000,,
274,เลขที่ 35 โลตัส มุกดาหาร ชั้น 1 ถ.ชยางกูร ตำบลมุกดาหาร อำเภอมุกดาหาร จ.มุกดาหาร 49000,,
275,ห้างบิ๊กซีมุกดาหาร  เลขที่  77/11  ถ.ชยางกูร  ต.มุกดาหาร  อ.เมืองมุกดาหาร  จ.มุกดาหาร  49000,,
276,ห้างโรบินสันมุกดาหาร  ห้องเลขที่  122  ชั้นที่  1F  เลขที่  99/11  ถ.ชยางกูร  ต.มุกดาหาร  อ.เมืองมุกดาหาร  จ.มุกดาหาร  49000,,
277,ห้างบิ๊กซีนครพนม  เลขที่  9/2  ซ.ร่วมมิตร  ถ.นิตโย  ต.หนองญาติ  อ.เมืองนครพนม  จ.นครพนม  48000,,
278,335/2 ห้างโลตัสนครพนม ชั้น 1 ถ.นิตโย ต.ในเมือง อ.เมืองนครพนม จ.นครพนม 48000,,
279,เลขที่  461  ห้างโลตัสบึงกาฬ  หมู่ที่ 1 ต.บึงกาฬ  อ.เมืองบึงกาฬ จ.บึงกาฬ  38000,,
280,99 เซ็นทรัลพลาซาแจ้งวัฒนะ ห้องเลขที่ OP-506 ชั้น 5 หมู่ 2 ถ.แจ้งวัฒนะ ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120,,
281,96  ห้างบิ๊กซีแจ้งวัฒนะ ชั้น 1 ห้อง 102 ม. 1  แขวงทุ่งสองห้อง เขตหลักสี่  จ.กรุงเทพ ฯ  10210,,
282,112 ห้างบิ๊กซี แจ้งวัฒนะ 2 ชั้น 1 ห้อง 19  ม.5  ถ. แจ้งวัฒนะ  ต. ปากเกร็ด อ. ปากเกร็ด  จ. นนทบุรี  11120,,
283,120 ศูนย์ราชการเฉลิมพระเกียรติ หมู่ 3 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กทม. 10210,,
284,333/100 อาคารหลักสี่พลาซ่าชั้น จี ห้อง จี 19 ถนนแจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่ กทม. 10210,,
285,1008 อาคาร Vi Plaza ชั้นที่ 1  ถนนวิภาวดีรังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
286,ห้างเซ็นทรัล ลาดพร้าว ชั้น G เลขที่ 1697  ถนน พหลโยธิน  แขวง จตุจักร เขต จตุจักร  กทม. 10900,,
287,ปั้มน้ำมันบางจาก-วิภาวดีรังสิต  เลขที่  21/45  ถ.วิภาวีดรังสิต  แขวง ตลาดบางเขน  เขต หลักสี่  จ.กรุงเทพมหานคร  10210,,
288,สถานีรถไฟฟ้าใต้ดินลาดพร้าว ชั้นใต้ดิน Gourmet Market ถนนลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพ 10900,,
289,ห้างเซ็นทรัล รามอินทรา เลขที่ 109/10 ถ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,,
290,"เลขที่ 101-101/1 ห้องเลขที่ L1-18,L1-19  ถนนป๊อปปูล่า ตำบล บ้านใหม่ อำเภอ ปากเกร็ด จังหวัดนนทบุรี 11120",,
291,126/9 ม.6 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพ 10220,,
292,เลขที่ 593 ถนนหทัยราษฎร์ แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,,
293,4/84-85 ห้างโลตัสวังหิน ชั้น 1 ม.14 ลาดพร้าว ลาดพร้าว กรุงเทพฯ 10230,,
