,Address,latitude,longtitude
294,ปั้มน้ำมันบางจาก-วิภาวดีรังสิต  เลขที่  21/45  ถ.วิภาวีดรังสิต  แขวง ตลาดบางเขน  เขต หลักสี่  จ.กรุงเทพมหานคร  10210,,
295,ห้างบิ๊กซีลพบุรี  เลขที่  2  หมู่ที่ 1  ต.ท่าศาลา  อ.เมืองลพบุรี  จ.ลพบุรี  15000,,
296,อาคารห้างโรบินสันลพบุรี  ห้องเลขที่ 134 ชั้นที่ 1F เลขที่ 555/5 หมู่ที่ 4  ต.กกโก  อ.เมือง  จ.ลพบุรี  15000,,
297,555 หมู่ที่ 4 ถนน 366 เลี่ยง ตำบล กกโก อำเภอเมืองลพบุรี ลพบุรี 15000,,
298,122/1  ห้างโลตัส โคกสำโรง  หมู่ที่ 4 ตำบลโคกสำโรง  อำเภอโคกสำโรง จังหวัดลพบุรี  15120,,
299,ห้างโรบินสันสระบุรี  ชั้นที่ 1F  เลขที่  99  หมู่ที่ 7  ต.ตลิ่งชัน  อ.เมือง  จ.สระบุรี  18000,,
300,88/9 หมู่ 8 ถนนบายพาสสระบุรี ฝั่งตะวันออก ตำบล ตลิ่งชัน อำเภอเมืองสระบุรี สระบุรี 18000,,
301,เลขที่ 514 ถ. พหลโยธิน ตำบลปากเพรียว อำเภอเมืองสระบุรี สระบุรี 18000,,
302,ห้างโลตัสนครนายก  เลขที่ ข1-150  ถ.บ้านใหญ่  ต.นครนายก  อ.เมืองนครนายก  จ.นครนายก  26000,,
303,94 ห้างฟิวเจอร์พาร์ครังสิต ชั้น 3  ห้องเลขที่ PLZ.3.KI0071B  ถ.พหลโยธิน ต.ประชาธิปัตย์ อ.ธัญบุรี ปทุมธานี 12130,,
304,ม.รังสิต  เลขที่ 52/347 หมู่บ้านเมืองเอก ถ.พหลโยธิน ต.หลักหก อ.เมือง จ.ปทุมธานี 12000,,
305,เลขที่ 298 หมู่ 13 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา จ.ปทุมธานี 12130,,
306,เลขที่ 3/83 บิ๊กซี ลำลูกกาคลอง 4 หมู่ 7 ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150,,
307,ร้านมิสเตอร์โดนัท (ปตท.สายไหม56) เลขที่ 388 ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพฯ 10220,,
308,เลขที่ 170 ถ.พหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130,,
309,อาคาร คุ้มเกล้าฯ โรงพยาบาลภูมิพลอดุลยเดช  ชั้นที่ 1  เลขที่  171  หมู่ที่ 2  แขวง คลองถนน  เขต  สายไหม  จ.กรุงเทพมหานคร  10220,,
310,เลขที่ 91/3 ห้าง โลตัส สระบุรี  ถนนมิตรภาพ ตำบลปากเพรียว  อำเภอเมืองสระบุรี  จังหวัดสระบุรี  18000,,
311,111/19 ห้างบิ๊กซีหาดใหญ่ ชั้น 1 ห้อง 111 ม.4 ต. คลองแห  อ.เมืองหาดใหญ่ จ.สงขลา 90110,,
312,677 ห้างบิ๊กซีหาดใหญ่ 2  ชั้น 1 ยูนิตเค 1/1  ถ.เพชรเกษม ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110,,
313,"ห้างเซ็นทรัลเฟสติวัล หาดใหญ่ ห้องเลขที่ K402 ชั้นที่ 4 เลขที่ 1518,1518/1-2 ถ.กาญจนวณิชย์ ต.หาดใหญ่ อ.หาดใหญ่ จ.สงขลา 90110",,
314,อาคารห้างโลตัสจะนะ เลขที่ 157/4 หมู่ที่ 5 ต.บ้านนา อ.จะนะ จ.สงขลา 90130,,
315,อาคารบิ๊กซีนาทวี ชั้นที่ 1 เลขที่ 194 หมู่ที่ 4 ต.นาทวี อ.นาทวี จ.สงขลา 90160,,
316,ไทวัสดุสงขลา เลขที่ 125/20 หมู่ 6 ห้อง 102 ชั้น 1 ตำบลน้ำน้อย อำเภอหาดใหญ่ สงขลา 90110,,
317,1119 หมู่ 1 ถนน เลี่ยงเมือง AH2 ตำบล ควนลัง อำเภอหาดใหญ่ สงขลา 90110,,
318,ห้างโลตัสสงขลา เลขที่ 64 หมู่ที่ 2 ต.เขารูปช้าง อ.เมือง จ.สงขลา 90000,,
319,301 ห้างบิ๊กซี ปัตตานี ชั้น 1 ห้อง 107 ม. 4 ต.รูสะมิแล อ.เมืองปัตตานี ปัตตานี 94000,,
320,505 อาคารศูนย์การค้าโคลิเซี่ยมซีนีเพล็กซ์-ยะลา ถนนสิโรรส ตำบลสะเตง อำเภอเมืองยะลา ยะลา 95000,,
321,ห้างซุปเปอร์นราธิวาส  เลขที่  24/2  ถ.จำรูญนรา  ต.บางนาค อ.เมืองนราธิวาส จ.นราธิวาส  96000,,
322,เลขที่ 42/145 ถนนสุริยะประดิษฐ์ ตำบลบางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000,,
323,เลขที่ 867 ถนนประชาวิวัฒน์ อำเภอสุไหงโก-ลก นราธิวาส 96120,,
324,เลขที่ 222 ถนนพลพิชัย - บ้านพรุ ตำบลคอหงส์ อำเภอหาดใหญ่ จังหวัดสงขลา 90110,,
325,"เลขที่ 4,12 ถนนเทศบาล 1 ตำบลสะเตง อำเภอเมือง จังหวัดยะลา 95000",,
326,"ห้างเซ็นทรัลเฟสติวัล หาดใหญ่  ห้องเลขที่  K402  ชั้นที่  4  
เลขที่  1518,1518/1-2  ถนนกาญจนวณิชย์   ตำบลหาดใหญ่ อำเภอหาดใหญ่ 
 จังหวัดสงขลา  90110",,
327,อาคาร ห้างบิ๊กซีกาฬสินธุ์  ชั้น G  เลขที่  101/2-3  ถ.ถีนานนท์  ต.กาฬสินธุ์  อ.เมืองกาฬสินธุ์  จ.กาฬสินธุ์  46000,,
328,ห้างกาฬสินธุ์พลาซ่า  เลขที่  4/14  ถ.ถีนานนท์  ต.กาฬสินธุ์  อ.เมืองกาฬสินธุ์  จ.กาฬสินธุ์  46000,,
329,605 ห้างโลตัส กุฉินารายณ์  หมู่ที่ 13  ตำบลบัวขาว อำเภอกุฉินารายณ์ จังหวัดกาฬสินธุ์ 46110,,
330,500  ห้างโลตัส สมเด็จ หมู่ที่ 5 ตำบลสมเด็จ อำเภอสมเด็จ จังหวัดกาฬสินธุ์  46150,,
331,ห้างเซ็นทรัลขอนแก่น  ห้องเลขที่  G25  ชั้น  G  เลขที่  99  ถ. ศรีจันทร์  ต. ในเมือง  อ.เมืองขอนแก่น  จ ขอนแก่น  40000,,
332,ห้างโลตัสขอนแก่น 2 เลขที่ 709 หมู่ที่ 3 ต.ศิลา อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
333,290/1 ห้างบิ๊กซี ขอนแก่น ชั้น 1 ห้อง 113-114/1 ต.ในเมือง อ.เมือง จ.ขอนแก่น 40000,,
334,ห้างบิ๊กซีกระนวน เลขที่ 559 หมู่ที่ 10 ต. หนองโก อ.กระนวน จ.ขอนแก่น 40170,,
335,177  ห้างบิ๊กซีขอนแก่น 2  หมู่ 9 ต.เมืองเก่า  อ. เมืองขอนแก่น จ.ขอนแก่น  40000,,
336,อาคารบิ๊กซีบ้านไผ่  เลขที่ 100  หมู่ที่ 6  ต.หัวหนอง  อ.บ้านไผ่  จ.ขอนแก่น  40110,,
337,6/11 ท็อปส์ พล ขอนแก่น ห้องเลขที่ RT106-109 ชั้นที่ 1  ถนนมิตรภาพ ตำบลเมืองพล อำเภอพล จังหวัดขอนแก่น 40120,,
338,เลขที่ 224 หมู่ 1 ตำบลสำราญ อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,,
339,ห้างโลตัสเลย  เลขที่  99  ม. 8  ต. นาอาน  อ.เมืองเลย  จ.เลย  42000,,
340,ห้างบิ๊กซีเลย  เลขที่  114  หมู่ที่ 9  ต.นาอาน  อ.เมืองเลย  จ.เลย  42000,,
341,เลขที่ 10/2 ถ.เลข-เชียงคาน ต.กุดป่อง อำเภอเมืองเลย เลย 42000,,
342,ห้องเลขที่ K1-8 เลขที่ 1/51 ถ.ประชาสโมสร ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น 40000,,
343,888 ห้างเซ็นทรัลวงศ์สว่าง ชั้น 1 ห้องเลขที่ บี 105 ถ.พิบูลสงคราม แขวง บางซื่อ เขต บางซื่อ กทม.10800,,
344,"162/1-2, 168/10  ศูนย์การค้าเกตเวย์ แอท บางซื่อ ห้องเลขที่ OP-G023 ชั้นที่ G  ถนนประชาราษฏร์ 2  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 108000",,
345,9/9 ห้างบิ๊กซีติวานนท์  ชั้น 1  ห้อง 111 ม. 5  ถ. ติวานนท์  ต. ตลาดขวัญ  อ.เมืองนนทบุรี จ. นนทบุรี 11000,,
346,ห้างเซ็นทรัล ปิ่นเกล้า เลขที่ 7/222 ชั้น 3 ถ.บรมราชชนนี แขวงอรุณอมรินทร์ เขตบางกอกน้อย จ.กรุงเทพมหานคร  10700,,
347,เลขที่ 29/41 หมู่ 11 ถ.บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
348,โครงการธนบุรีมาร์เก็ตเพลส 58 ถ. บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
349,888 ห้างโลตัส บางกรวย-ไทรน้อย หมู่ที่ 2 ตำบลบางบัวทอง อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,,
350,1  ห้างบิ๊กซี ไทรน้อย  หมู่ที่ 6 ตำบลไทรน้อย อำเภอไทรน้อย จังหวัดนนทบุรี  11150,,
351,"เลขที่ 217, 219 ถนนงามวงศ์วาน ตำบลบางเขน อำเภอเมืองนนทบุรี นนทบุรี 11000",,
352,99/9 ถ.ชัยพฤกษ์ ตำบลละหาร อำเภอบางบัวทอง นนทบุรี 11110,,
353,68/100 ห้างเซ็นทรัลรัตนาธิเบศน์ ชั้น 1 ห้อง 111 ม.8 ถ. รัตนาธิเบศร์ ต. บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี  11000,,
354,97/9 หมู่ 1 ตำบล ท่าอิฐ อำเภอปากเกร็ด นนทบุรี 11120,,
355,68/777 ห้างบิ๊กซีรัตนาธิเบศร์ 2 ชั้น 1 ยูนิตเอฟ 1/19  หมู่ที่ 8 ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,,
356,37/112 ห้างโลตัสรัตนาธิเบศร์ ชั้น 1 หมู่ที่ 8 ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมืองนนทบุรี จ.นนทบุรี 11000,,
357,244 ห้างโลตัสจรัญสนิทวงศ์ ชั้น 1 ถ.จรัญสนิทวงศ์  ต.บางพลัด  อ.บางพลัด  กทม. 10700,,
358,"ศูนย์การค้าเซ็นทรัลพลาซ่า เวสต์เกต ชั้นที่ 1 เลขที่ 199,199/1,199/2 หมู่ที่ 6 ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140",,
359,ศูนย์การค้าเซ็นทรัลพลาซ่า เวสต์เกต 199/1-2 ชั้น 4 ตำบลเสาธงหิน อำเภอบางใหญ่ นนทบุรี 11110,,
360,อาคารตึกคอมศรีราชา  ห้องเลขที่  GS01/1  ชั้นที่ G  เลขที่  135/99  ถ.สุขุมวิท  ต.ศรีราชา  อ.ศรีราชา  จ.ชลบุรี  20110,,
361,4/222 ศูนย์การค้าฮาร์เบอร์ มอลล์ ห้องเลขที่ GFC06 ชั้น จี หมู่ที่ 10 ถนนสุขุมวิท ตำบลทุ่งสุขลา อำเภอศรีราชา จังหวัดชลบุรี 20230,,
362,90/1 ห้างโรบินสันศรีราชา ชั้น บีเอฟ ห้อง บี-11 ถ.สุขุมวิท ต.ศรีราชา อ.ศรีราชา จ.ชลบุรี 20110,,
363,เลขที่ 8 ถ.สุขุมวิท ตำบลศรีราชา อำเภอศรีราชา ชลบุรี 20110,,
364,เลขที่ 179 ห้างโลตัส สัตหีบ หมู่ 2 ตำบลสัตหีบ อำเภอสัตหีบ ชลบุรี 20180,,
365,88/18 ห้างบิ๊กซี สัตหีบ หมู่ที่ 3 ตำบลสัตหีบ อำเภอสัตหีบ จังหวัดชลบุรี 20180,,
366,26/62 ห้างโลตัส อู่ตะเภา หมู่ที่ 1 ตำบลพลูตาหลวง อำเภอสัตหีบ จังหวัดชลบุรี  20180,,
367,"92/10 หมู่ 10, หนองขาม, ศรีราชา, ชลบุรี 20230",,
368,"เซ็นทรัลชลบุรี (ชั้น 1) หมู่ที่ 1 55/88-89,55/91 ถ.สุขุมวิท ตำบลเสม็ด อำเภอเมืองชลบุรี ชลบุรี 20000",,
369,49/1 ห้างบิ๊กซีชลบุรี หมู่ 3 ต.ห้วยกะปิ อ.เมืองชลบุรี จ.ชลบุรี 20000,,
370,15/17 ห้างบิ๊กซีชลบุรี 2 ห้องเอฟ 1/8 ม.3 ต.ห้วยกะปิ อ.เมืองชลบุรี จ.ชลบุรี 20000,,
371,888 โรบินสัน ชลบุรี  หมู่ที่ 3 ตำบลดอนหัวฬ่อ  อำเภอเมืองชลบุรี  จังหวัดชลบุรี  20000,,
372,140  ห้างโลตัส พนัสนิคม หมู่ที่ 1 ตำบลกุฎโง้ง อำเภอพนัสนิคม ชลบุรี 20140,,
373,ห้างบิ๊กซีบ้านบึง  เลขที่  181  ถ.บ้านบึง-แกลง  ต.บ้านบึง  อ.บ้านบึง  จ.ชลบุรี  20170,,
374,ไทวัสดุชลบุรี 112/90 ถนนเศรษฐกิจ ตำบลบ้านสวน อำเภอเมืองชลบุรี ชลบุรี 20000,,
375,ห้างแหลมทอง บางแสน  ห้องเลขที่  1FC03  ชั้นที่ 1  เลขที่  278/2  ถ.ลงหาดบางแสน  ต.แสนสุข  อ.เมืองชลบุรี  จ.ชลบุรี  20130,,
376,87 ตำบล ห้วยกะปิ อำเภอเมืองชลบุรี ชลบุรี 20130,,
377,565/41  ห้างบิ๊กซีพัทยาใต้ ชั้น 1  ห้อง 107 ม. 10  ต. หนองปรือ อ. บางละมุง จ. ชลบุรี  20150,,
378,เลขที่ 333 ห้างบิ๊กซีพัทยา 2  ชั้นจี  ห้อง เค 1/2  ถ.พัทยากลาง ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
379,อาคารเซ็นทรัลเฟสติวัล พัทยา บีช เลขที่ 333/99 ชั้นที่ G หมู่ที่ 9 ตำบลหนองปรือ อำเภอบางละมุง จังหวัดชลบุรี 20150,,
380,777 ศูนย์การค้าเทอมินอล 21 พัทยา ห้องเลขที่ KI2065A ชั้นที่ 2 หมู่ที่ 6 ตำบลนาเกลือ อำเภอบางละมุง จังหวัดชลบุรี 20150,,
381,78/54-56 ห้างเซ็นทรัล มารีน่า พัทยา ห้องเลขที่ K129  ชั้น 1  หมู่ที่ 9 ถนนพัทยา สาย 2  ตำบลนาเกลือ อำเภอบางละมุง จังหวัดชลบุรี 20150,,
382,เลขที่ 80/3 หมู่ที่ 12 ถ.สุขุมวิท ตำบลหนองปรือ อำเภอบางละมุง ชลบุรี 20150,,
383,89 ห้างบิ๊กซีบางพลี ชั้น 1 ห้อง เอ-06  ถ.เทพารักษ์ กม.13  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540,,
384,99/27 ห้างโลตัสบางพลี ชั้น 1 ตำบลราชาเทวะ อำเภอบางพลี สมุทรปราการ 10540,,
385,111/15 ถนนเทพารักษ์ ตำบลบางปลา อ.บางพลี จ.สมุทรปราการ 10540,,
386,340/1  หมู่ที่ 1  ถนนบางนา-ตราด  ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ  10560,,
387,เลขที่ 354 หมู่ที่ 6 ทางหลวงยุทธศาสตร์ สัตหีบ - พนมสารคาม ตำบล บ่อวิน อำเภอศรีราชา ชลบุรี 20230,,
388,เลขที่ 126/1 ถนน วิภาวดีรังสิต แขวง รัชดาภิเษก เขตดินแดง กรุงเทพมหานคร 10400,,
389,618/1 ห้างบิ๊กซีสะพานควาย ชั้น 1 ห้อง 115 พหลโยธิน แขวงสามเสนใน เขตพญาไท กทม. 10400,,
390,ห้องเลขที่ K/66  เลขที่  128  ม. 6  ถ. พระรามที่ 2 แขวง แสมดำ  เขต บางขุนเทียน จ. กรุงเทพมหานคร  10150,,
391,"30/62 ม.2 เขตบางบอน, กรุงเทพมหานคร 10150",,
392,268 2 ถ. พระราม 2 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
393,"19/164 ห้างบิ๊กซี บางบอน ชั้น 1 ห้อง12,13 หมู่ 6  แขวงบางบอน เขตบางบอน กทม.  10150",,
394,เลขที่ 160 ชั้น 1 ถ.พระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
395,1050 ห้างบิ๊กซีดาวคะนองชั้น 1  ห้อง 114 ถนนสมเด็จพระเจ้าตากสิน  แขวงบุคคโล เขตธนบุรี กทม. 10600,,
396,เลขที่ 127  ถ.พระรามที่ 2 แขวงแสมดำ  แขตบางขุนเทียน  จ.กรุงเทพมหานคร  10150,,
397,98 ถนนพระรามที่ 2 หมู่ที่ 4 ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร,,
398,ห้างบิ๊กซีหมาชัย  เลขที่  79  ม. 8  ต.ท่าทราย  อ.เมืองสมุทรสาคร  จ.สมุทรสาคร  74000,,
399,ห้างโลตัสประชาอุทิศ  เลขที่  42  ถ.ประชาอุทิศ  แขวง ทุ่งครุ  เขตทุ่งครุ  จ.กรุงเทพมหานคร  10140,,
400,ปตท. พระราม 2 กม. 12.3 ขาออก    เลขที่ 44/44 ถ. พระรามที่ 2 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,,
401,5/5 หมู่ที่ 3 ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,,
402,545/4 ม.2 ตำบลบ้านคลองสวน อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290,,
403,เลขที่ 5 พระรามที่ 2 ซอย 54 แยก 2 แขวงแสมดำ เขตบางขุนเทียน แสมดำ กรุงเทพมหานคร 10150,,
404,ตำบล บางน้ำจืด อำเภอเมืองสมุทรสาคร สมุทรสาคร 10150,,
405,เลขที่ 89 ตำบล บางน้ำจืด อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000,,
406,เลขที่ 40/17 ถ.กาญจณาภิเษก แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,,
407,ห้างบิ๊กซีกำแพงเพชร  เลขที่  613/1  ถ.เจริญสุข  ต.ในเมือง  อ.เมืองกำแพงเพชร  จ.กำแพงเพชร  62000,,
408,ห้างโรบินสันกำแพงเพชร เลขที่ 651/1 ถ.เจริญสุข ต.ในเมือง อ.เมือง จ.กำแพงเพชร 62000,,
409,เลขที่ 939 ห้างบิ๊กซีเพชรบูรณ์ หมู่ 2 ต.สะเตียง อ.เมืองเพชรบูรณ์ จ.เพชรบูรณ์ 67000,,
410,ห้างบิ๊กซีหล่มสัก  เลขที่  70  ถ.สามัคคีชัย  ต.หล่มสัก อ.หล่มสัก จ.เพชรบูรณ์  67110,,
411,393 ม.4 ต.วัดป่า  อ.หล่มสัก  จ.เพชรบูรณ์  67110,,
412,ห้างโลตัสบึงสามพัน เลขที 86/5 ม.3  ต.ซับเสมอทอด  อ.บึงสามพัน  จ.เพชรบูรณ์  67160,,
413,157  ห้างบิ๊กซี วิเชียรบุรี  หมู่ที่ 4  ตำบลสระประดู่ อำเภอวิเชียรบุรี จังหวัดเพชรบูรณ์ 67130,,
414,939 ห้างบิ๊กซีพิษณุโลก ชั้น 1 ห้อง 111 ถนนพิชัยสงคราม ต. ในเมือง อ. เมือง จ. พิษณุโลก  65000,,
415,ห้างเซ็นทรัลพิษณุโลก  ห้องเลขที่ K312  ชั้นที่ 3  เลขที่ 9/99  หมู่ที่ 5  ต.พลายชุมพล  อ.เมืองพิษณุโลก  จ.พิษณุโลก  65000,,
416,788 หมู่7 ถนน พิษณุโลก - วังทอง ตำบล สมอแข อำเภอเมืองพิษณุโลก พิษณุโลก 65000,,
417,68 ห้างบิ๊กซีสุโขทัย หมู่ 2 ต.บ้านกล้วย อ.เมืองสุโขทัย จ.สุโขทัย 64000,,
418,เลขที่ 139 ตำบลท่าขุนราม อำเภอเมืองกำแพงเพชร กำแพงเพชร 62000,,
419,เลขที่ 172 ถนนบรมอาสน์ ตำบลท่าอิฐ เมืองอุตรดิตถ์ 53000,,
420,ห้างบิ๊กซีตาก  ห้องเลขที่  GCR 125  เลขที่  18/3  ถ. พหลโยธิน  ต. ระแหง อ. เมืองตาก  จ. ตาก  63000,,
421,ห้างโลตัสตาก  เลขที่ 18  ถ.พหลโยธิน ต.หนองหลวง  อ.เมืองตาก  จ.ตาก  63000,,
422,ห้างโรบินสันแม่สอด  เลขที่  99/115  ถ.สายเอเซีย  ต.แม่สอด  อ.แม่สอด  จ.ตาก  63110,,
423,929 ถนน คชเสนีย์ ต.สะเดียง อ.เมือง จ.เพชรบูรณ์ 67000,,
424,129/19 ห้างบิ๊กซีสมุย หมู่ 1 ต.บ่อผุด อ.เกาะสมุย จ.สุราษฎร์ธานี 84320,,
425,ห้างโลตัสเวียงสระ เลขที่ 222 หมู่ที่ 1 ต.เวียงสระ อ.เวียงสระ จ.สุราษฏร์ธานี 84190,,
426,89/201 ห้างโรบินสันนครศรีธรรมราช ชั้น 1 F ถ. พัฒนาการคูขวาง อ. เมือง จ. นครศรีธรรมราช,,
427,อาคารสหไทยพลาซ่า นครศรีธรรมราช ห้องเลขที่ F1-K2 ชั้นที่ 1 เลขที่ 1392 ถ.ศรีปราชญ์ ต.ท่าวัง อ.เมือง จ.นครศรีธรรมราช 80000,,
428,22 ห้างบิ๊กซี นครศรีธรรมราช หมู่ที่ 5 ตำบลปากพูน อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000,,
429,อาคารเซ็นทรัลพลาซ่านครศรีธรรมราช ห้องเลขที่ K206 ชั้นที่ 2 เลขที่ 8.9/8 หมู่ที่ 7 ต.นาสาร อ.พระพรหม จ.นครศรีธรรมราช  80000,,
430,ห้างบิ๊กซี ชุมพร  ห้องเลขที่  K1/8  เลขที่  195  ม. 3  ต.วังไผ่  อ.เมืองชุมพร  จ. ชุมพร  86000,,
431,188/181 ห้างโอเชี่ยนชุมพร ถ.ศาลาแดง ต.ท่าตะเภา อ.เมืองชุมพร จ.ชุมพร 86000,,
432,เลขที่ 162 หมู่ 18 ตำบลท่าเรือ อำเภอเมือง จังหวัดนครศรีธรรมราช 80000,,
433,ห้างโลตัสระนอง  เลขที่  25/15  หมู่ที่ 1  ต.บางริ้น  อ.เมือง  จ.ระนอง  85000,,
434,ห้างบิ๊กซีระนอง  เลขที่  666/1  หมู่ที่ 4  ต.บางนอน  อ.เมืองระนอง  จ.ระนอง  85000,,
435,ห้างบิ๊กซีสุราษฎร์ธานี เลขที่ 130 ม. 1 ถ.เลี่ยงเมือง ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,,
436,ศูนย์การค้าโคลีเซี่ยมสุราษฎร์ธานี เลขที่ 321 ถ.หน้าเมือง ต.ตลาด อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,,
437,ห้างเซ็นทรัลสุราษฎร์ธานี ห้องเลขที่ K102 ชั้นที่ 1 เลขที่ 88 หมู่ที่ 10 ต.วัดประดู่ อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,,
438,150  ห้างโลตัส บ้านตาขุน หมู่ที่ 3 ตำบลเขาวง อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี 84230,,
439,43 ถ.สุราษธานี-นครศรีธรรมราช ตำบลท่าทองใหม่ อำเภอกาญจนดิษฐ์ สุราษฎร์ธานี 84290,,
440,บิ๊กซีสุราษฎร์ธานี เลขที่ 130 ม. 1 ถ.เลี่ยงเมือง ต.บางกุ้ง อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 84000,,